0,1,2,3,4,5,6,7
CHAMPIONS 135 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/681e7789-26e6-4b35-b0c9-a110e1fd38f6/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5MzQ5N2Y0ZSIsImNpcGhlcnRleHQiOiIrcWt5Zkp5K1lMUVpWdHBmUTVUT2JcL1ZrNEM3dUxXaVFxSWNUQ1ZxUnNycHVUTGlNRTVJdUwxdnJVTkw3RGZ2SSIsIml2IjoiOTlkZWQ4NDlhMmU0ZjBmZTE4YWFhYWE1NjFiMGI4NjMiLCJzYWx0IjoiMmQ5NGZlZjA1ZTU3YmZiNWFmODZhODk0YzZlODcyZTgifQ==,,r5gv2m,"January 9, 2022",None,bee38fb4832598e4a06e426677b5efee
CHAMPIONS 134 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/6aca9ee8-5af3-4b5d-b490-710058f50f69/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5Mzc4MTAwYyIsImNpcGhlcnRleHQiOiJqeThoUFlXVjR6d1UrVmE5N2dLRFFCeWlnb3p2eDFPaDRvUlVEakkzMEN2SGZxUVVGdXpCYitDQ0pjWWIrYndnIiwiaXYiOiJiZmVhNTM1NDcxNGM3M2FhMDU2MWE5NmU1MDg0YTM1ZSIsInNhbHQiOiJiZWRjNjRjMGI4MjIyNjUyMTY2MDBlZjY1M2JhMDMyYiJ9,,r54wr6,"January 2, 2022",None,3c3384493b6a93197f2254248070f459
CHAMPIONS 133 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/c5a8ca67-00ed-4a65-b83b-56ac7e95c2e0/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5M2E0OTFkYiIsImNpcGhlcnRleHQiOiIyU0hOaUZqczFqM2tOa0U3eHMxamVqcWZiaEJGelwvYjE2YU4xQm1haitDMEZoUE1tdFlIRW5CVVU4U0xzZStOaiIsIml2IjoiNzdkY2ZkM2RhODM2YWQ4NzM3NTA2OTA4YjM1Yzc2NzEiLCJzYWx0IjoiMWFjYjU3MjUzM2UwMjQwOWM1ZWE4ZWU5MmYzYTk5MjkifQ==,Live Stream,r4vnb5,"December 26, 2021",None,6b3fa72262b85c5b48b2aec8235fc855
CHAMPIONS 132 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/37d73d60-6829-4437-9a3d-79d0f1c25824/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5M2QzNDNmYiIsImNpcGhlcnRleHQiOiIwVWFHNHU1TEl1Z0xYUVdcL3RxWDE4aGxXOUtcLzllenRHdnhJTkNQbmxib1hNVXBDYlJ4TlVcL1ViSDNWMzVwYTZxIiwiaXYiOiIzYTdmNzcwYjBhZTBjNDE1MmI0NWU1NjdkNWVjODBiZSIsInNhbHQiOiIzYjdlYjBkZWY0ZDcwYjdlYzQ2NjYwODk4MDY1YjlkYyJ9,Live Stream,r4dwcn,"December 19, 2021",None,ff672c3c48fda43e56fed5cb75c8066a
CHAMPIONS 131 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/a3f65cf5-83fc-4a6f-ac01-3bade59aa5f6/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5M2ZkMDcwYiIsImNpcGhlcnRleHQiOiJnKzlTV1FlZ1VTUVpOTXhwVjlNUUhic29HczhXTGhjRnBZWkFlbFNtclhFdkhrWVN3WkVMRUJ6WVJ1VnN4dW5nIiwiaXYiOiI3OWYzMGRjM2M2MmMwZDJlY2M1MDAwODQ1N2RjNTE2NiIsInNhbHQiOiI0MGMxMzg1Yjg5MzUxOTAyN2M1MDQ5Mjk2MjExMDg1YiJ9,Live Stream,r411fo,"December 12, 2021",None,5d48951ba333ed502d6b3cfc8ce2c782
CHAMPIONS 130 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/a9235bf2-4c84-4023-a395-2e67f7268cb6/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5NDI4ZWVmMiIsImNpcGhlcnRleHQiOiJTRUtHbUhRVWZcL05SZFJPWHJmOHpFcTNsZjQyWll0bEZTSVg5bGlXWHRrczlhZlJla1AzeURRNEtJRTlZcTRYUiIsIml2IjoiZWJmZWQ5NzhjYmI4MTRmZjNhOTE2YzEwM2M0NzljMWIiLCJzYWx0IjoiMzE4NTY1ODc3YzY4YWU1ZjA0NDRhMWNiOTY3YjE2M2MifQ==,Live Stream,r3o0h2,"December 5, 2021",None,dc3bcff455bd210f1b72bc4a4acf660a
CHAMPIONS 129 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/ef3800f3-19ac-4c35-895a-7dfcb672e4db/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5NDU3OWJkMyIsImNpcGhlcnRleHQiOiJEbkFBZFZPcURqWmx4U3lqa2ZEOW5FV2NBY0UxTDdUUE1cL0pcLzEybFVoUnh5WVwvMHhRa0VjRmcwRlhyKzN2N2piIiwiaXYiOiI1ZThhZmVjNmQ5YmQ1NTUwYTdhOTcwMzg0NmZlNGYyZiIsInNhbHQiOiJlZjNlY2QzNjE0ZTA2ZWJlY2UyODQ4ZTgwYTM2YzY4YyJ9,Live Stream,r3b2ld,"November 28, 2021",None,42cc44c34ee8443040b3ed258c047fe9
CHAMPIONS 128 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/8f6edc25-05f6-4cb3-b6e8-f7ea33bc4a63/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5NDg1MjBmZiIsImNpcGhlcnRleHQiOiIyeW1NcHN4bGRvWW52MzFVbW1YS2hxMkYzV3duMEY2VW1oVzF0U2NOcGZseGlzeGpYMWVnYkhIK3NQdnpST20wIiwiaXYiOiJmNTI1Yzk2MzU1YTA5ZjA4MDU3NmViNjU2NTAwMGZlOCIsInNhbHQiOiI0YThhNDhmY2RhYjJmNjQwMDAzZmY4YzFkOTEwZmI2OSJ9,,r2y3c4,"November 21, 2021","<div class=""elementor-widget-container"">
<p><strong>1:02 - PREVIOUS WEEK REVIEW + LTF TRADES</strong></p>
<p><strong>9:25 - BTC TA</strong></p>
<ul>
<li>When the level is old and it had been tapped in the past, Daniel would normally not mark it on his chart anymore but if the level is still very respected and important, he leaves it on</li>
<li>Daniel always marks the lower VAL and the higher VAH</li>
<li>When there is a nPOC with no confluence it is not so probable that the price will bounce there but when there are a few POC’s on or close to nPOC, it is a very strong level</li>
<li>Also, if nPOC is at the important level it adds to confluence</li>
<li>nPOC’s do not always give reversals but in general they offer good scalp trades (1-5% in general)</li>
<li>The overall low and the low of an impulse are both valid to pull from - consider the one that is more respected as it may work best</li>
<li>It is more likely that the less steep trend line will be more respected</li>
<li>When there is a psychological level on ETH being hit and BTC is also hitting support it is likely it bounces (nice confluence)</li>
<li>Daniel is good at having entries from exact lows and exact highs (he is always well prepared)</li>
<li>It is very helpful to have a line in the sand from which you can expect much lower/much higher</li>
<li>Wave 4 cannot come into wave 1 - invalidation</li>
<li>As a trader, you need to be prepared for every possible scenario</li>
</ul>
<p><strong>54:49 - Q&amp;A</strong></p>
<ul>
<li>You can recognize high liquidity areas from experience - where would people put their SL’s?</li>
<li>Daniel generally just uses 0.618 and 0.75 on speedfan</li>
<li>With waiting for HTF market structure change you miss the move if you are waiting for the move but it is good to be aware of it</li>
<li>EWs are very helpful as they have clear invalidations</li>
<li>Daniel uses diagonal trendlines only with EW counts</li>
<li>CME gap is good to be aware of but not to base a trade off of it</li>
</ul>
</div>",16ee2581ef3f5a81f115c9e3495e8532
CHAMPIONS 127 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/30763455-97d4-4903-8d3e-f0d089cda4e0/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5NGFlN2JiYyIsImNpcGhlcnRleHQiOiJleTJDOUJhcGRtUGVHS3M3bGhDVUpwWUd1T0xuRkFCeUIwM3NaOVJMOUVRd1JoRlN2WDFJa3o3OE9NQ1VjRmIyIiwiaXYiOiI2ZDg5NWY2ZThlMzRhMGZhMTViMzJkMmUyNjA0NDU2YiIsInNhbHQiOiJmZTBkZDA1ODA1ZTBhNmM4MjNlYWFlMWJkYjIyMWU5MCJ9,,r2l50s,"November 14, 2021","<div class=""elementor-widget-container"">
<p><strong>1:06 - BTC TA</strong></p>
<ul>
<li>Daniel covers EW count</li>
<li>He charts on Coinbase chart as it has more history</li>
<li>He checks the potential wave 5 targets on log scale and on normal scale</li>
<li>Game of probabilities is always changing</li>
<li>Sometimes you need to be aggressive with entering trades</li>
<li>You always need to know how much you want to hedge your portfolio, how much you are willing to risk on trades (R:R ratio)</li>
<li>Daniel is constantly hedging in order to protect his capital and is not/less bothered if the price goes up without him taking a trade</li>
<li>When price drops he is not only loosing BTC but also spot value - that is why he is much more aggressive on shorts</li>
<li>Wave 4 can either be running flat (very bullish) or expanded flat</li>
<li>Daniel is not bearish, he is just very good at hedging at very high levels</li>
<li>When bullish, every drop is a gift</li>
<li>Significant low on significant time pivot offers a very good trade</li>
<li>Daniel uses trendlines as invalidation on EW count</li>
<li>When price holds a trend line there is a good probability of price going higher</li>
<li>Breaking a trendline equals a major break in an uptrend followed with a major retracement</li>
</ul>
<p><strong>57:20 - Q&amp;A</strong></p>
<ul>
<li>Breaking 2-4 trendline would mean wave 5 is in</li>
<li>MS is number one</li>
</ul>
</div>",78235f7c824db510cd414fec4c3b2fa9
CHAMPIONS 126 - ChartChampions,https://d272f79eqy1rdf.cloudfront.net/77468b4c-bd23-408d-8a2a-bd8365f07842/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTk5NGUwMTg3MSIsImNpcGhlcnRleHQiOiJHNnd4WnlPQkRnbXpmOW9KVk5KYStFVG9QcjlYbWY1ZTZscTgxK1BcL1wvcEExNkhWbTRCazdmdndZNklPNVFDT28iLCJpdiI6IjA2ZGEwMzhiZjNjZjAwMTRjOTY2NjFkOTIwOTk4ODdmIiwic2FsdCI6IjE4MGViMTY4ZTI3YzRmZjMwY2U5NjEzYzI4ZjA2M2RmIn0=,,r2881p,"November 7, 2021","<div class=""elementor-widget-container"">
<p><strong>3:38 - BTC TA</strong></p>
<ul>
<li>Once you have the skill of knowing how to trade you can trade anything</li>
<li>Patterns are often times counter traded that is why it is best to simply short resistance and long support</li>
<li>When BTC is range bound the opportunity is with altcoins</li>
</ul>
<p><strong>20:57 - ETH TA</strong></p>
<p><strong>23:21 - SHIB TA</strong></p>
<ul>
<li>Regarding Fibonacci there are various ways to pull from</li>
<li>Daniel uses Fibonacci with EWs</li>
<li>He also uses Fib extension with the pivots of ABC correction (EW)</li>
</ul>
<p><strong>44:13 - DOT TA</strong></p>
<p><strong>52:08 - ATOM TA</strong></p>
<ul>
<li>Spring in accumulation pattern is a very good opportunity</li>
<li>Hedging is important because nothing in trading is certain, there are only probabilities so you have to protect your money</li>
<li>Hedging when you have a lot of capital is very profitable because you get paid funding</li>
<li>Shorting is very important when there is a big resistance and high funding</li>
</ul>
<p><strong>1:04:33 - Q&amp;A</strong></p>
<ul>
<li>Daniel always wants to see the reaction at the level he is interested in and he trades based off of the reaction</li>
</ul>
</div>",38fc6cb54943ae602680b05d7b4eeae9
