0,1,2,3,4,5,6,7
CONTENDERS 135 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/fe7667e1-1990-41fd-aa8d-75e7546ecaa4/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNGQxODM0NCIsImNpcGhlcnRleHQiOiJGeldNT0ZieWVLZHZtc0V6MFdmMENhVFhQNDF3WVJuaXRhQ2FHZGlQRUx2eW9pcVZQKzZuTXpPYVZ6dmNpeFNoIiwiaXYiOiIwNGZiYTFkZTNmNmQ1Mzg4ZjJhZGE1MjRlOGFjMDk0NSIsInNhbHQiOiI1NWEwZGVhN2U5NWUwMjc1NzAxZWQ5ZjhiMDE0NjJlMyJ9,,r6p8pf,"February 2, 2022",None,451c23623eec22ab7016f628d1fff4d5
CONTENDERS 134 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/bdd145ba-cf63-4b10-a0f1-da6c1aa2adb5/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNGZkMTlhZSIsImNpcGhlcnRleHQiOiIrcFFCYkpSZ2J1U0RJSXVTWnlFd2hlelA5WDdJaW01Y2tPNlMwMW1VRzV1M3hndG1rbGFjYmMyVURnKzRsODhuIiwiaXYiOiJiODY1ZmJkZmNlZWEwNWRhYjAwYmRkMzMxNDI2OGNkYSIsInNhbHQiOiIwOGM1YTZlMTdkYzFmN2FlN2I5MDI2ZmU1YjJlNTM0YiJ9,,r6fbcg,"January 26, 2022",None,01975a12ab3db6c4ff9eeea8fb4180c8
CONTENDERS 133 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/a1cafff4-9a71-4709-9adc-a813de6b3a90/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNTJjNzFkOCIsImNpcGhlcnRleHQiOiJ3Uk9GYmR4anc3bWlycmpyTWp4RVNjUGNMRjlrY3RLbUNWR3ZiN2ZZbnhtcmFQSUE4N0UyczY0eXcyUDRhQ3Z6IiwiaXYiOiI1ODFmOGUwYzQ2NjYzNmU4MDJjZjY3YWMxZThhNzhmYSIsInNhbHQiOiIwN2YyZjhhNjIzMzI1NjIxMDIxNWNmMjllYmRhODdlMSJ9,,r62jpj,"January 19, 2022",None,8f7eb4a82649e4992e66b0b161b92b97
CONTENDERS 132 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/56587f40-6919-4395-8a16-bbd73486c16a/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNTVhZjk1ZSIsImNpcGhlcnRleHQiOiJnMWF6cDhwTEZ3c21yWlU4d09YdzRSdU1HWUdGV0hnWWhCaDVkQ2N1UE9CUFVjWDZIRkV5eUt2MUxnTUFwN0xxIiwiaXYiOiJkYTM2NmU5ODZjNDkzM2RlOWZiYzkxNTk3MTNmOWE5ZCIsInNhbHQiOiI0ZWI0MTJhZDI3NWMyNDJjNDk2NzE4N2NjMWY3Y2Y5YiJ9,,r5mboy,"January 12, 2022",None,642e1c00a8ccd6945cd7c9dfbad5b850
CONTENDERS 131 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/cd92ee81-00bf-48cd-b99d-5814ccc91dd2/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNTg3MGZjNCIsImNpcGhlcnRleHQiOiIrQ3h3TWdWVWlmeTRrZ2RENHIrZDVZY09xVzR0b2lcL24yZE9pVlwvdXpiWDBVQU9mNDdiU0dzcytoYllySGdLU0YiLCJpdiI6IjU0NTVjMzQ1ZTJiNTRlYjFlYTlkYmI3YTI0MmUwYjJiIiwic2FsdCI6IjQ0YjJiNWRjMzEyOWNiYzJlOTY1NWI2NTVhZDI2ZGIwIn0=,,r59k2l,"January 5, 2022",None,18c18f659e20c8829fe4306155c17bd2
CONTENDERS 130 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/d312a940-f591-4c07-9dd3-fb05b7efe3a4/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNWI2MGE0ZiIsImNpcGhlcnRleHQiOiJiRzVTakxpUmtXRU9yazR2M3dTcFwvanRLNnZST0ZUdWVobWNCcHkxc3JuVGhDb3FYNDVGMGtzV2RIWFhsVnM3MiIsIml2IjoiMTdkZDA5MzkxODU3ZjA5ZGI1YzQ1NDg4NjZkYTUxOTkiLCJzYWx0IjoiMDA2ZTUxYjE3NDg5YTZlMmYzN2YyODY4ZDI2MDllOGUifQ==,Market Structure Part 3,r4weg8,"December 29, 2021",None,a6dcc68dccbf42ad83b756e5080551d3
CONTENDERS 129 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/92f06fb7-d8c1-4daa-8f76-7f89b61a4fef/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNWU1MjVmMCIsImNpcGhlcnRleHQiOiJBc0FlSjJjNm91NFp4VlZMTlJ1YzlzRlhiVUVYWEk5aVRwOGJTSFpCVGo5Y0FJU01RRmF5cVIrVmNibXNZaHRUIiwiaXYiOiJiMmQ2MjllNDQxNWEyMzA2ZjMwMzEzNThjYzY1OGFlNyIsInNhbHQiOiJmNDg2YWM4NTE1NTBiMTE0NmUwMmZlNjg2MDgxY2VlMiJ9,,r4jkli,"December 22, 2021",None,bccc873641cf385d3e4b609b08a47375
CONTENDERS 128 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/90b80732-01a1-4fe4-91b1-1211b5c2f273/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNjEzOTljZSIsImNpcGhlcnRleHQiOiJmR0RCTmlLNUlWRnZxdWpmS0phTWg0clpaXC96K3dQTlJKQmpcL0F4akJ4OXFuem4rc3R6YkNra3QyczJ3RHN3WkMiLCJpdiI6ImQ2ODFiZDA3MmEyOTIxNmM4MmU2OTJkMmI3ZTQxYTI1Iiwic2FsdCI6ImI1ZjQzNDI0YTk5YzE4MzJmZTA4Y2YwYmNkMjlmZjU1In0=,Market Structure Part 2,r47pb9,"December 15, 2021",None,6bad55eac34d8e6a39d651810b773965
CONTENDERS 127 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/e416d181-b955-432a-8ff8-778245ed4653/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNjQxYWUxYyIsImNpcGhlcnRleHQiOiJcL09INitZMWJveWhUeFBXb0JpMlFoYW8wUEdid3BoSVZTT1NiYndqdkpIdCswOGpZYm1ObVozNVwvSFlvaXRzbVEiLCJpdiI6IjI1ZGRmMjc5MzgwZjVmYzM1YTJlYjdiN2Y4NzBkZTZlIiwic2FsdCI6ImI2Yjg0NDZiOGQyMjFjMWI2ZWU2Nzk1MDAwODUwMzE2In0=,CCTR Trend Rev,r3tko3,"December 8, 2021",None,94ba631787e74da89a0940943136f818
CONTENDERS 126 - ChartChampions,https://di2l6fs1w0mp2.cloudfront.net/c7fff5b2-ccc7-4b4d-869c-e026098f91d1/master.m3u8,eyJwYXNzcGhyYXNlIjoiNjIwMTlhNjZjOWY1ZiIsImNpcGhlcnRleHQiOiJzc1E0UmdhMFVpYTRCXC9CV25FNVg3ZG1rQXpiMDJ0cldySVcySGNBY3c4OVBDRVZiQkR0N2JoelB4dWxNY3JXRyIsIml2IjoiNzg2MGNlYTNkMzE1MzVhMTNlMWUxNTlhMDc1YzhhOWUiLCJzYWx0IjoiNTkyNzA4YWU0N2RjYTBlYTgwZjE5ZWU3MzA3N2ZiODkifQ==,Spot vs Derivatives,r3oz0n,"December 1, 2021",None,870cb4f620c12274bb79e07062a3596e
